#Log of APF observations
# Filename, Tobj, Obj, Thorium1, Thorium2, Halogen1, Halogen2, Date, RA, Dec, Md5, Filesize
gs://apf_test/ramz.228.fits HIP12444 HIP12444 Off Off Off Off 2015-12-08T06:12:14.82  2:40:12.4  -9:27:10.4 e1abe85a7f9be39be4da25c7880192cd 1477440
gs://apf_test/ucb-amz228.fits HIP12444 HIP12444 Off Off Off Off 2015-12-08T06:12:14.82  2:40:12.4  -9:27:10.4 4f152f7f2ac5c36363c89b9a1553b517 19189440
gs://apf_test/ramz.278.fits <Park> HIP42172 Off Off Off Off 2015-12-08T12:42:37.47  9:42:36.3  37:05:54.8 45b59c0697de0cf400e24f3d22d5c364 1477440
gs://apf_test/ucb-amz278.fits <Park> HIP42172 Off Off Off Off 2015-12-08T12:42:37.47  9:42:36.3  37:05:54.8 43f8e1b46f4e89341980aacd64025232 19189440
gs://apf_test/rana.224.fits HIP12444 HIP12444 Off Off Off Off 2015-12-09T06:31:36.85  2:40:12.4  -9:27:10.4 e061d43aa018d0a3c196234a756c91c7 1477440
gs://apf_test/ucb-ana224.fits HIP12444 HIP12444 Off Off Off Off 2015-12-09T06:31:36.85  2:40:12.4  -9:27:10.4 2f865899ead94b0b14b4866ee40eba4c 19189440
gs://apf_test/rana.243.fits HIP19855 HIP19855 Off Off Off Off 2015-12-09T08:32:11.69  4:15:25.8   6:11:58.7 e5e412e0b00dfbad84572fbe138b10a3 1477440
gs://apf_test/ucb-ana243.fits HIP19855 HIP19855 Off Off Off Off 2015-12-09T08:32:11.69  4:15:25.8   6:11:58.7 330335d56777b313f37a0561b78a43c9 19189440
gs://apf_test/rann.193.fits HIP77622 HIP77622 Off Off Off Off 2016-01-20T13:43:12.95 15:50:49.0   4:28:39.8 4c8ad1d1d0de3fd46468ffc3219949f1 1477440
gs://apf_test/ucb-ann193.fits HIP77622 HIP77622 Off Off Off Off 2016-01-20T13:43:12.95 15:50:49.0   4:28:39.8 7efa9936cee455161e76d99387bbb6f8 19189440
gs://apf_test/ranq.207.fits HIP39064 HIP39064 Off Off Off Off 2016-01-26T11:12:36.92  7:59:34.1  20:50:29.0 0e2a7e0671e73be7394b1ecb8291df76 1477440
gs://apf_test/ucb-anq207.fits HIP39064 HIP39064 Off Off Off Off 2016-01-26T11:12:36.92  7:59:34.1  20:50:29.0 b9aea35e4aa3acfeebc633c1dd1d8701 19189440
gs://apf_test/ranq.231.fits HIP77622 HIP77622 Off Off Off Off 2016-01-26T14:03:53.68 15:50:49.0   4:28:39.8 2cff7205be36375d2a74b8e6f4d4ced1 1477440
gs://apf_test/ucb-anq231.fits HIP77622 HIP77622 Off Off Off Off 2016-01-26T14:03:53.68 15:50:49.0   4:28:39.8 4143b6b6337a58f621651378c6d42f5f 19189440
gs://apf_test/ranr.210.fits HIP14576 HIP14576 Off Off Off Off 2016-01-28T03:37:47.95  3:08:10.1  40:57:20.0 44a7c93a1dfd0f6024eb0b7170fa5148 1477440
gs://apf_test/ucb-anr210.fits HIP14576 HIP14576 Off Off Off Off 2016-01-28T03:37:47.95  3:08:10.1  40:57:20.0 55f054d63770b3d47f5bfbc4415c91ef 19189440
gs://apf_test/ranr.212.fits HIP9884 HIP9884 Off Off Off Off 2016-01-28T03:41:37.76  2:07:10.6  23:27:42.0 9970cbac02c33e2f034c8b2aed1a9025 1477440
gs://apf_test/ucb-anr212.fits HIP9884 HIP9884 Off Off Off Off 2016-01-28T03:41:37.76  2:07:10.6  23:27:42.0 ae42e9a19d38b3ddf7d40af3fa5068dc 19189440
gs://apf_test/ranr.211.fits HIP21421 HIP21421 Off Off Off Off 2016-01-28T03:39:50.20  4:35:55.3  16:30:30.0 b7e632174664216d1c2bfaf4ace72854 1477440
gs://apf_test/ucb-anr211.fits HIP21421 HIP21421 Off Off Off Off 2016-01-28T03:39:50.20  4:35:55.3  16:30:30.0 ee6434c2f119d87a5e43728d16c37a45 19189440
gs://apf_test/ranr.237.fits HIP36850 HIP36850 Off Off Off Off 2016-01-28T05:24:25.44  7:34:35.5  31:53:15.0 8ec80856c2c360c73df1f937fa1e1fbc 1477440
